CURSAT ver 2.1 Edition #2   Date:         03-05-2020      Hour:       15:28:29
Input file:   data.txt
Accumulation pseudoreplicates' file:      accum_data_shuf.txt
Dataset pseudoreplicates' file:           pseud_data_shuf.txt
Number of columns:           5 
Number of rows:              4 
Number of repetitions:       100 
Seed number:  12348695
Log filename:               data_shuf_log.txt

Resampling without replacement

Replicate

 1 	 0 	 0 	 2 	 5 	 1 	
 1 	 6 	 1 	 0 	 3 	 7 	
 1 	 3 	 1 	 1 	 0 	 4 	
 1 	 1 	 4 	 3 	 2 	 0 	

 2 	 0 	 2 	 5 	 1 	 0 	
 2 	 1 	 0 	 3 	 7 	 6 	
 2 	 1 	 1 	 0 	 4 	 3 	
 2 	 4 	 3 	 2 	 0 	 1 	

 3 	 2 	 5 	 0 	 1 	 0 	
 3 	 0 	 3 	 1 	 7 	 6 	
 3 	 1 	 0 	 1 	 4 	 3 	
 3 	 3 	 2 	 4 	 0 	 1 	

 4 	 0 	 2 	 5 	 0 	 1 	
 4 	 6 	 0 	 3 	 1 	 7 	
 4 	 3 	 1 	 0 	 1 	 4 	
 4 	 1 	 3 	 2 	 4 	 0 	

 5 	 0 	 5 	 2 	 1 	 0 	
 5 	 1 	 3 	 0 	 7 	 6 	
 5 	 1 	 0 	 1 	 4 	 3 	
 5 	 4 	 2 	 3 	 0 	 1 	

 6 	 1 	 5 	 0 	 2 	 0 	
 6 	 7 	 3 	 1 	 0 	 6 	
 6 	 4 	 0 	 1 	 1 	 3 	
 6 	 0 	 2 	 4 	 3 	 1 	

 7 	 0 	 2 	 0 	 5 	 1 	
 7 	 6 	 0 	 1 	 3 	 7 	
 7 	 3 	 1 	 1 	 0 	 4 	
 7 	 1 	 3 	 4 	 2 	 0 	

 8 	 0 	 2 	 1 	 0 	 5 	
 8 	 6 	 0 	 7 	 1 	 3 	
 8 	 3 	 1 	 4 	 1 	 0 	
 8 	 1 	 3 	 0 	 4 	 2 	

 9 	 0 	 1 	 0 	 5 	 2 	
 9 	 1 	 7 	 6 	 3 	 0 	
 9 	 1 	 4 	 3 	 0 	 1 	
 9 	 4 	 0 	 1 	 2 	 3 	

 10 	 0 	 2 	 5 	 1 	 0 	
 10 	 6 	 0 	 3 	 7 	 1 	
 10 	 3 	 1 	 0 	 4 	 1 	
 10 	 1 	 3 	 2 	 0 	 4 	

 11 	 0 	 0 	 1 	 2 	 5 	
 11 	 1 	 6 	 7 	 0 	 3 	
 11 	 1 	 3 	 4 	 1 	 0 	
 11 	 4 	 1 	 0 	 3 	 2 	

 12 	 1 	 2 	 0 	 0 	 5 	
 12 	 7 	 0 	 1 	 6 	 3 	
 12 	 4 	 1 	 1 	 3 	 0 	
 12 	 0 	 3 	 4 	 1 	 2 	

 13 	 0 	 1 	 2 	 5 	 0 	
 13 	 1 	 7 	 0 	 3 	 6 	
 13 	 1 	 4 	 1 	 0 	 3 	
 13 	 4 	 0 	 3 	 2 	 1 	

 14 	 0 	 2 	 0 	 5 	 1 	
 14 	 6 	 0 	 1 	 3 	 7 	
 14 	 3 	 1 	 1 	 0 	 4 	
 14 	 1 	 3 	 4 	 2 	 0 	

 15 	 0 	 2 	 5 	 1 	 0 	
 15 	 1 	 0 	 3 	 7 	 6 	
 15 	 1 	 1 	 0 	 4 	 3 	
 15 	 4 	 3 	 2 	 0 	 1 	

 16 	 0 	 2 	 0 	 1 	 5 	
 16 	 1 	 0 	 6 	 7 	 3 	
 16 	 1 	 1 	 3 	 4 	 0 	
